Date,Open,High,Low,Close,Adj Close,Volume,Returns
12/05/2009,25.040001,25.040001,25.040001,25.040001,21.796793,0,-0.358761763
13/05/2009,24.35,24.35,24.35,24.35,21.196157,0,-2.794295722
14/05/2009,24.75,24.75,24.75,24.75,21.544355,0,1.629394162
15/05/2009,24.610001,24.610001,24.610001,24.610001,21.422487,0,-0.567266856
18/05/2009,25.33,25.33,25.33,25.33,22.049225,0,2.883628916
19/05/2009,25.469999,25.469999,25.469999,25.469999,22.171097,0,0.55120498
20/05/2009,25.5,25.5,25.5,25.5,22.197212,0,0.117719172
21/05/2009,25.1,25.1,25.1,25.1,21.849022,0,-1.581053459
22/05/2009,25.1,25.1,25.1,25.1,21.849022,0,0
26/05/2009,25.74,25.74,25.74,25.74,22.406128,0,2.517833206
27/05/2009,25.43,25.43,25.43,25.43,22.13628,0,-1.211660139
28/05/2009,25.540001,25.540001,25.540001,25.540001,22.232025,0,0.431592546
29/05/2009,25.92,25.92,25.92,25.92,22.562813,0,1.476929163
01/06/2009,26.700001,26.700001,26.700001,26.700001,23.241785,0,2.964862769
02/06/2009,26.93,26.93,26.93,26.93,23.441994,0,0.857729309
03/06/2009,26.459999,26.459999,26.459999,26.459999,23.032871,0,-1.76066598
04/06/2009,26.58,26.58,26.58,26.58,23.137331,0,0.452500417
05/06/2009,26.5,26.5,26.5,26.5,23.06769,0,-0.301443658
08/06/2009,26.34,26.34,26.34,26.34,22.928413,0,-0.60560533
09/06/2009,26.52,26.52,26.52,26.52,23.0851,0,0.681050393
10/06/2009,26.48,26.48,26.48,26.48,23.050283,0,-0.150934074
11/06/2009,26.530001,26.530001,26.530001,26.530001,23.093807,0,0.188643932
12/06/2009,26.41,26.41,26.41,26.41,22.989344,0,-0.453368212
15/06/2009,25.82,25.82,25.82,25.82,22.475763,0,-2.259327561
16/06/2009,25.57,25.57,25.57,25.57,22.258148,0,-0.972938479
17/06/2009,25.610001,25.610001,25.610001,25.610001,22.292965,0,0.156301402
18/06/2009,25.73,25.73,25.73,25.73,22.397419,0,0.467457117
19/06/2009,25.889999,25.889999,25.889999,25.889999,22.536697,0,0.619922938
22/06/2009,25.139999,25.139999,25.139999,25.139999,21.883839,0,-2.939653919
23/06/2009,25.059999,25.059999,25.059999,25.059999,21.814201,0,-0.318723947
24/06/2009,25.299999,25.299999,25.299999,25.299999,22.023117,0,0.953149468
25/06/2009,25.82,25.82,25.82,25.82,22.475763,0,2.03448542
26/06/2009,25.92,25.92,25.92,25.92,22.562813,0,0.386557996
29/06/2009,26,26,26,26,22.632452,0,0.308169695
30/06/2009,25.9,25.9,25.9,25.9,22.545399,0,-0.385379587
01/07/2009,26.26,26.26,26.26,26.26,22.858776,0,1.380410397
02/07/2009,25.51,25.51,25.51,25.51,22.205914,0,-2.897646383
06/07/2009,25.41,25.41,25.41,25.41,22.11887,0,-0.392755944
07/07/2009,25.15,25.15,25.15,25.15,21.89254,0,-1.028515084
08/07/2009,25.09,25.09,25.09,25.09,21.840313,0,-0.238845725
09/07/2009,25.18,25.18,25.18,25.18,21.918655,0,0.358061843
10/07/2009,25.120001,25.120001,25.120001,25.120001,21.866432,0,-0.238542519
13/07/2009,25.52,25.52,25.52,25.52,22.214621,0,1.579800018
14/07/2009,25.700001,25.700001,25.700001,25.700001,22.371305,0,0.702843516
15/07/2009,26.370001,26.370001,26.370001,26.370001,22.954527,0,2.57360611
16/07/2009,26.629999,26.629999,26.629999,26.629999,23.180849,0,0.981129169
17/07/2009,26.629999,26.629999,26.629999,26.629999,23.180849,0,0
20/07/2009,27.01,27.01,27.01,27.01,23.511635,0,1.416894137
21/07/2009,27.040001,27.040001,27.040001,27.040001,23.53775,0,0.111011027
22/07/2009,27.219999,27.219999,27.219999,27.219999,23.694431,0,0.663452635
23/07/2009,27.65,27.65,27.65,27.65,24.068741,0,1.567390303
24/07/2009,27.74,27.74,27.74,27.74,24.147087,0,0.324980705
27/07/2009,27.809999,27.809999,27.809999,27.809999,24.208017,0,0.252010759
28/07/2009,27.940001,27.940001,27.940001,27.940001,24.321177,0,0.466359302
29/07/2009,27.75,27.75,27.75,27.75,24.155788,0,-0.682343219
30/07/2009,28.1,28.1,28.1,28.1,24.460459,0,1.253387529
31/07/2009,28.200001,28.200001,28.200001,28.200001,24.547506,0,0.355236507
03/08/2009,28.67,28.67,28.67,28.67,24.956629,0,1.652921781
04/08/2009,28.67,28.67,28.67,28.67,24.956629,0,0
05/08/2009,28.540001,28.540001,28.540001,28.540001,24.843464,0,-0.454477845
06/08/2009,28.389999,28.389999,28.389999,28.389999,24.712898,0,-0.526940626
07/08/2009,28.77,28.77,28.77,28.77,25.043676,0,1.329604699
10/08/2009,28.700001,28.700001,28.700001,28.700001,24.982742,0,-0.243607408
11/08/2009,28.450001,28.450001,28.450001,28.450001,24.765125,0,-0.874885301
12/08/2009,28.809999,28.809999,28.809999,28.809999,25.078499,0,1.257445202
13/08/2009,29.059999,29.059999,29.059999,29.059999,25.296112,0,0.863984255
14/08/2009,28.809999,28.809999,28.809999,28.809999,25.078499,0,-0.863984255
17/08/2009,28.209999,28.209999,28.209999,28.209999,24.556202,0,-2.104641586
18/08/2009,28.469999,28.469999,28.469999,28.469999,24.782534,0,0.917468123
19/08/2009,28.639999,28.639999,28.639999,28.639999,24.930508,0,0.595314352
20/08/2009,28.950001,28.950001,28.950001,28.950001,25.200359,0,1.076596606
21/08/2009,29.43,29.43,29.43,29.43,25.618191,0,1.644444463
24/08/2009,29.51,29.51,29.51,29.51,25.687828,0,0.271457596
